n,date,eid,pages,location,url,note
1,מאי 2008 16:37,1214120,1,scan.pdf p1,http://www.tapuz.co.il/blog/print.asp?EntryId=1214120,
2,מאי 2008 16:38,1214634,1,scan (1).pdf p1,http://www.tapuz.co.il/blog/print.asp?EntryId=1214634,"marker says 2p, 1 present in scan"
3,מאי 2008 16:41,1219383,2,scan (1).pdf p3-5,http://www.tapuz.co.il/blog/print.asp?EntryId=1219383,
4,מאי 2008 6:47,1223169,1,scan (1).pdf p7,http://www.tapuz.co.il/blog/print.asp?EntryId=1223169,
5,מאי 2008 5:48,1223343,1,scan (1).pdf p9,http://www.tapuz.co.il/blog/print.asp?EntryId=1223343,
6,מאי 2008 3:48,1223839,1,scan (1).pdf p11,http://www.tapuz.co.il/blog/print.asp?EntryId=1223839,
7,מאי 2008 6:48,1224775,1,scan (1).pdf p13,http://www.tapuz.co.il/blog/print.asp?EntryId=1224775,
8,מאי 2008 8:49,1225079,1,scan (1).pdf p15,http://www.tapuz.co.il/blog/print.asp?EntryId=1225079,
9,מאי 2008 6:49,1225688,1,scan (1).pdf p17,http://www.tapuz.co.il/blog/print.asp?EntryId=1225688,
10,מאי 2008 6:49,1226086,1,scan (1).pdf p19,http://www.tapuz.co.il/blog/print.asp?EntryId=1226086,
11,מאי 2008 6:49,1226310,1,scan (1).pdf p21,http://www.tapuz.co.il/blog/print.asp?EntryId=1226310,
12,מאי 2008 6:49,1226734,1,scan (1).pdf p23,http://www.tapuz.co.il/blog/print.asp?EntryId=1226734,
13,מאי 2008 8:49,1227254,1,scan (1).pdf p25,http://www.tapuz.co.il/blog/print.asp?EntryId=1227254,
14,מאי 2008 6:49,1227784,1,scan (1).pdf p27,http://www.tapuz.co.il/blog/print.asp?EntryId=1227784,
15,מאי 2008 6:50,1227791,1,scan (1).pdf p29,http://www.tapuz.co.il/blog/print.asp?EntryId=1227791,
16,מאי 2008 3:50,1228112,1,scan (1).pdf p31,http://www.tapuz.co.il/blog/print.asp?EntryId=1228112,
17,מאי 2008 6:50,1228462,1,scan (1).pdf p33,http://www.tapuz.co.il/blog/print.asp?EntryId=1228462,
18,מאי 2008 6:50,1228873,2,scan (1).pdf p35-37,http://www.tapuz.co.il/blog/print.asp?EntryId=1228873,
19,מאי 2008 6:51,1229167,2,scan (1).pdf p39-41,http://www.tapuz.co.il/blog/print.asp?EntryId=1229167,
20,מאי 2008 6:51,1230149,1,scan (1).pdf p43,http://www.tapuz.co.il/blog/print.asp?EntryId=1230149,
21,מאי 2008 6:51,1230834,2,scan (1).pdf p45-47,http://www.tapuz.co.il/blog/print.asp?EntryId=1230834,
22,מאי 2008 6:52,,1,scan (1).pdf p49,,
